date,workerid,amount
Thu Jun 07 18:36:07 CEST 2018,AWXIEV9H6KT9E,4.0
Thu Jun 07 18:44:59 CEST 2018,AV7UX8QQXABSK,4.0
Thu Jun 07 18:46:39 CEST 2018,A1GXFMAC759VRM,4.0
Thu Jun 07 18:47:31 CEST 2018,A3ROADR7T6811,4.0
Thu Jun 07 18:49:15 CEST 2018,A1945USNZHTROX,4.0
Thu Jun 07 18:49:32 CEST 2018,A150GMV1YQWWB3,4.0
Thu Jun 07 19:01:37 CEST 2018,A2WT6FV92737W6,4.0
Thu Jun 07 19:28:47 CEST 2018,A1EBQ9X6IN5OZC,4.0
Thu Jun 07 19:30:31 CEST 2018,A1KYILRX3BK5EX,4.0
Thu Jun 07 19:41:26 CEST 2018,A3GEL5PWFIK05S,4.0
,total paid to workers:,=SUM(c2:c11)
,40% paid to Amazon:,=.4*c12
,total:,=SUM(c12:c13
