date,workerid,amount
Sun Jun 17 11:40:05 CEST 2018,A2T2H9I6P3DPD2,4.0
Sun Jun 17 11:40:31 CEST 2018,A2YKW761AK4ZGY,4.0
Sun Jun 17 11:40:32 CEST 2018,A3JLCVQ5ARYLHC,4.0
Sun Jun 17 11:40:32 CEST 2018,ARG392N6HWZCJ,4.0
Sun Jun 17 11:41:15 CEST 2018,A1FYMTQ3YSEOQ9,4.0
Sun Jun 17 11:42:04 CEST 2018,A1B8GYI6D690QX,4.0
Sun Jun 17 11:42:50 CEST 2018,A2FLZP3C6U67JY,4.0
Sun Jun 17 11:43:10 CEST 2018,A1WPD3XMSTFWXW,4.0
Sun Jun 17 11:43:20 CEST 2018,A17D6BK59S31BM,4.0
Sun Jun 17 11:43:27 CEST 2018,A8TLS2F8LFQ68,4.0
Sun Jun 17 11:44:30 CEST 2018,AFH62ANAVCN4J,4.0
Sun Jun 17 11:44:34 CEST 2018,AP2MU0EINJQGF,4.0
Sun Jun 17 11:44:43 CEST 2018,ALTMSSCYKZS8Z,4.0
Sun Jun 17 11:45:00 CEST 2018,A3APD41CJ1AFA4,4.0
Sun Jun 17 11:45:16 CEST 2018,AQ37EZXMW0IEL,4.0
Sun Jun 17 11:45:41 CEST 2018,A1TKXBN6HVE6J5,4.0
Sun Jun 17 11:45:51 CEST 2018,AJ7NSZOAFP05U,4.0
Sun Jun 17 11:46:14 CEST 2018,A2R0YYUAWNT7UD,4.0
Sun Jun 17 11:46:45 CEST 2018,A2CY1G4VJV3G85,4.0
Sun Jun 17 11:47:43 CEST 2018,A2TGJRES9XC5NH,4.0
Sun Jun 17 11:47:55 CEST 2018,AECQ7QG4CQP69,4.0
Sun Jun 17 11:48:09 CEST 2018,AIR4UQNPIMFCJ,4.0
Sun Jun 17 11:48:09 CEST 2018,A3NUUMIAEIAN5,4.0
Sun Jun 17 11:48:31 CEST 2018,A9FCR1QRZAM3U,4.0
Sun Jun 17 11:50:06 CEST 2018,A3J84UA7THFJGI,4.0
Sun Jun 17 11:50:21 CEST 2018,A1CH3TODZNQCES,4.0
Sun Jun 17 11:51:14 CEST 2018,A1SCDQLN07S9Y2,4.0
Sun Jun 17 11:51:32 CEST 2018,A1L609S2309PH9,4.0
Sun Jun 17 11:51:40 CEST 2018,A3K9RMEW1A9R8E,4.0
Sun Jun 17 11:52:23 CEST 2018,A1WE7JOOWZSMHF,4.0
Sun Jun 17 11:52:25 CEST 2018,A30UE6DWFNUCWX,4.0
Sun Jun 17 11:52:29 CEST 2018,AKB82TCYUECWD,4.0
Sun Jun 17 11:53:07 CEST 2018,A1FYS4T8BCR1AT,4.0
Sun Jun 17 11:53:15 CEST 2018,A2LZDQ00ZUW0N,4.0
Sun Jun 17 11:53:35 CEST 2018,A16JMJHOUC2MGE,4.0
Sun Jun 17 11:53:46 CEST 2018,A2HEZCJ1DMZAAX,4.0
Sun Jun 17 11:53:59 CEST 2018,A2ZQCHONMAJZF,4.0
Sun Jun 17 11:54:08 CEST 2018,A26353504Y4B3R,4.0
Sun Jun 17 11:54:57 CEST 2018,A1WKF2VH7TV0H2,4.0
Sun Jun 17 11:55:00 CEST 2018,A3SF0U7VESV1X8,4.0
Sun Jun 17 11:55:06 CEST 2018,AP43EYS9D1Z9E,4.0
Sun Jun 17 11:55:34 CEST 2018,A2LFM01A16YPKG,4.0
Sun Jun 17 11:55:54 CEST 2018,A3BK1587S574IP,4.0
Sun Jun 17 11:56:05 CEST 2018,A5XPWJXG95CIH,4.0
Sun Jun 17 11:56:54 CEST 2018,A2VH5JHSQ8R88L,4.0
Sun Jun 17 11:56:58 CEST 2018,A94DL4GI8ZBUO,4.0
Sun Jun 17 11:57:24 CEST 2018,A177426A2F8DUY,4.0
Sun Jun 17 11:58:34 CEST 2018,A1KEAHVVML6319,4.0
Sun Jun 17 11:58:53 CEST 2018,A22Z03NU5RN6AZ,4.0
Sun Jun 17 11:59:14 CEST 2018,A20NITCOBY4775,4.0
Sun Jun 17 11:59:19 CEST 2018,A1OVGCI9KUL4MI,4.0
Sun Jun 17 11:59:25 CEST 2018,A3D1L580FAK35L,4.0
Sun Jun 17 11:59:26 CEST 2018,A364OUAXP7PC9K,4.0
Sun Jun 17 11:59:28 CEST 2018,AL44289RBKXUT,4.0
Sun Jun 17 12:00:17 CEST 2018,A2OVX9UW5WANQE,4.0
Sun Jun 17 12:00:52 CEST 2018,A37EV8RZ82WT8E,4.0
Sun Jun 17 12:01:05 CEST 2018,A3IMSZ0F76M3UP,4.0
Sun Jun 17 12:01:14 CEST 2018,APRZ7BR8C0ZMQ,4.0
Sun Jun 17 12:03:13 CEST 2018,A2WKN97R9EXE6B,4.0
Sun Jun 17 12:03:15 CEST 2018,A1SQC3067DP5TB,4.0
Sun Jun 17 12:03:45 CEST 2018,A21SF3IKIZB0VN,4.0
Sun Jun 17 12:04:07 CEST 2018,A36E1O48KQ6OP0,4.0
Sun Jun 17 12:04:29 CEST 2018,ACNHKXWKZRUZ5,4.0
Sun Jun 17 12:04:44 CEST 2018,AJSOA5J0L6I3C,4.0
Sun Jun 17 12:04:54 CEST 2018,A20CZCJPRP54G9,4.0
Sun Jun 17 12:05:09 CEST 2018,ADT8R2HIR0DM8,4.0
Sun Jun 17 12:06:01 CEST 2018,A2RBNMRC6942T0,4.0
Sun Jun 17 12:06:31 CEST 2018,A3P74FP62XNVYI,4.0
Sun Jun 17 12:07:21 CEST 2018,A1J53O645RRQU4,4.0
Sun Jun 17 12:07:26 CEST 2018,A1B4KC5KP7FH1Z,4.0
Sun Jun 17 12:07:38 CEST 2018,A16HSMUJ7C7QA7,4.0
Sun Jun 17 12:07:42 CEST 2018,A2QBJTFPTUQ8U2,4.0
Sun Jun 17 12:09:49 CEST 2018,A20IA63WXHF683,4.0
Sun Jun 17 12:10:17 CEST 2018,A14WLAP6TCEKO0,4.0
Sun Jun 17 12:12:15 CEST 2018,A140YQGGW69QK0,4.0
Sun Jun 17 12:12:48 CEST 2018,A2YANUCFN0R5P6,4.0
Sun Jun 17 12:13:26 CEST 2018,A3RFDP99X8IWGM,4.0
Sun Jun 17 12:16:11 CEST 2018,A2BEC2FXO2NEV2,4.0
Sun Jun 17 12:17:56 CEST 2018,A1JS6T809ORXEF,4.0
Sun Jun 17 12:17:56 CEST 2018,A1GEZDTJPG3Q7U,4.0
Sun Jun 17 12:25:53 CEST 2018,A10LLZZHZVGWRW,4.0
Sun Jun 17 12:26:29 CEST 2018,A35U2XAPA429W7,4.0
Sun Jun 17 12:28:08 CEST 2018,A2148LZC82UBIX,4.0
Sun Jun 17 12:30:37 CEST 2018,A1LSTI58FIV8RD,4.0
