date,workerid,amount
Wed Oct 03 18:26:34 CEST 2018,A3O7X46E3REM7I,4.0
Wed Oct 03 18:26:38 CEST 2018,A14HW8I4RYHNC4,4.0
Wed Oct 03 18:26:47 CEST 2018,A2LX3ZOJZTP31C,4.0
Wed Oct 03 18:29:39 CEST 2018,A2PXJTMWGUE5DC,4.0
Wed Oct 03 18:30:43 CEST 2018,A98E8M4QLI9RS,4.0
Wed Oct 03 18:32:19 CEST 2018,A1V2H0UF94ATWY,4.0
Wed Oct 03 18:37:38 CEST 2018,AAIQLE701DI9U,4.0
Wed Oct 03 18:50:41 CEST 2018,AIEKCWYZTS41V,4.0
Wed Oct 03 19:17:37 CEST 2018,A3E9A9O3CLMEW,4.0
Wed Oct 03 20:20:11 CEST 2018,AT0COJ1G23ZB0,4.0
,total paid to workers:,=SUM(c2:c11)
,40% paid to Amazon:,=.4*c12
,total:,=SUM(c12:c13
